iter	Passed	Remaining
809	2079	487
810	2080	484
811	2082	482
812	2083	479
813	2085	476
814	2087	473
815	2089	471
816	2091	468
817	2093	465
818	2095	463
819	2097	460
820	2098	457
821	2100	454
822	2102	452
823	2104	449
824	2105	446
825	2107	443
826	2109	441
827	2111	438
828	2112	435
829	2114	433
830	2116	430
831	2118	427
832	2119	424
833	2121	422
834	2122	419
835	2124	416
836	2126	414
837	2128	411
838	2130	408
839	2133	406
840	2135	403
841	2137	401
842	2139	398
843	2140	395
844	2142	392
845	2144	390
846	2146	387
847	2148	385
848	2149	382
849	2151	379
850	2153	376
851	2154	374
852	2156	371
853	2158	368
854	2160	366
855	2162	363
856	2164	361
857	2165	358
858	2167	355
859	2169	353
860	2170	350
861	2172	347
862	2174	345
863	2175	342
864	2177	339
865	2179	337
866	2181	334
867	2182	331
868	2184	329
869	2186	326
870	2187	324
871	2189	321
872	2191	318
873	2192	316
874	2194	313
875	2196	310
876	2198	308
877	2199	305
878	2201	303
879	2203	300
880	2205	297
881	2207	295
882	2208	292
883	2210	290
884	2211	287
885	2213	284
886	2215	282
887	2217	279
888	2219	277
889	2220	274
890	2222	271
891	2223	269
892	2225	266
893	2226	264
894	2228	261
895	2230	258
896	2232	256
897	2234	253
898	2236	251
899	2239	248
900	2240	246
901	2243	243
902	2245	241
903	2247	238
904	2249	236
905	2251	233
906	2254	231
907	2256	228
908	2258	226
909	2260	223
910	2262	221
911	2263	218
912	2265	215
913	2267	213
914	2268	210
915	2270	208
916	2271	205
917	2273	203
918	2275	200
919	2277	198
920	2278	195
921	2280	192
922	2281	190
923	2283	187
924	2285	185
925	2286	182
926	2288	180
927	2290	177
928	2292	175
929	2293	172
930	2295	170
931	2296	167
932	2298	165
933	2300	162
934	2302	160
935	2303	157
936	2305	155
937	2307	152
938	2308	149
939	2309	147
940	2311	144
941	2313	142
942	2314	139
943	2316	137
944	2318	134
945	2320	132
946	2322	129
947	2324	127
948	2325	124
949	2327	122
950	2329	120
951	2330	117
952	2332	115
953	2334	112
954	2336	110
955	2337	107
956	2339	105
957	2342	102
958	2343	100
959	2345	97
960	2347	95
961	2348	92
962	2350	90
963	2352	87
964	2353	85
965	2355	82
966	2357	80
967	2359	77
968	2361	75
969	2363	73
970	2364	70
971	2366	68
972	2367	65
973	2369	63
974	2371	60
975	2373	58
976	2374	55
977	2376	53
978	2378	51
979	2380	48
980	2381	46
981	2383	43
982	2385	41
983	2386	38
984	2388	36
985	2390	33
986	2392	31
987	2393	29
988	2395	26
989	2397	24
990	2398	21
991	2400	19
992	2403	16
993	2404	14
994	2407	12
995	2409	9
996	2411	7
997	2412	4
998	2414	2
999	2416	0
